,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class,Discussion-Equal-Width-Bin,Discussion-Equal-Frequency-Bin,Discussion-Custom-Binning
0,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.15,0.16161616161616163,2,20,Good,0,M,very low,B,P
1,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.2,0.20202020202020202,3,25,Good,0,M,low,B,P
2,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.1,0.0707070707070707,0,30,Bad,1,L,low,B,P
3,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.3,0.25252525252525254,5,35,Bad,1,L,low,C,P
4,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.4,0.5050505050505051,12,50,Bad,1,M,medium,D,Q
5,F,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.42,0.30303030303030304,13,70,Bad,1,M,high,D,S
6,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.35,0.12121212121212122,0,17,Bad,1,L,very low,B,
7,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.10101010101010101,15,22,Good,0,M,low,B,P
8,F,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.12,0.21212121212121213,16,50,Good,0,M,medium,D,Q
9,F,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.7,0.8080808080808081,25,70,Good,0,M,high,D,S
10,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.8888888888888888,30,80,Good,0,H,very high,E,T
11,M,KW,KuwaIT,MiddleSchool,5,B,Math,F,Father,0.19,0.06060606060606061,19,12,Good,0,M,very low,A,
12,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.05,0.010101010101010102,0,11,Bad,1,L,very low,A,
13,M,lebanon,lebanon,MiddleSchool,6,A,Math,F,Father,0.2,0.1414141414141414,12,19,Bad,1,L,very low,B,P
14,F,KW,KuwaIT,MiddleSchool,6,A,Math,F,Mum,0.62,0.7070707070707071,44,60,Bad,1,H,high,D,R
15,F,KW,KuwaIT,MiddleSchool,4,A,IT,F,Father,0.3,0.40404040404040403,22,66,Good,0,M,high,D,R
16,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.36,0.30303030303030304,20,80,Bad,1,M,very high,E,T
17,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.55,0.13131313131313133,35,90,Bad,1,M,very high,E,T
18,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Mum,0.46831196581196577,0.15151515151515152,36,96,Good,0,M,very high,E,
19,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Mum,0.7,0.5050505050505051,40,99,Good,0,H,very high,E,
20,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.6,0.6060606060606061,33,90,Bad,1,M,very high,E,T
21,F,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.1,0.12121212121212122,4,80,Bad,0,M,very high,E,T
22,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.15,0.21212121212121213,2,90,Bad,0,M,very high,E,T
23,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.02,0.0,2,50,Bad,1,L,medium,D,Q
24,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.0,0.020202020202020204,3,70,Good,1,L,high,D,S
25,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.08,0.0707070707070707,30,40,Good,1,L,low,C,Q
26,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.19,0.1919191919191919,25,40,Bad,0,M,low,C,Q
27,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.25,0.15151515151515152,12,33,Bad,1,L,low,C,P
28,M,KW,KuwaIT,MiddleSchool,6,A,Science,F,Father,0.75,0.8585858585858586,52,43,Good,0,M,medium,C,Q
29,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.3,0.9090909090909091,33,35,Bad,0,M,low,C,P
30,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.35,0.8080808080808081,50,70,Good,0,H,high,D,S
31,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.04,0.050505050505050504,40,16,Good,1,L,very low,B,
32,F,KW,KuwaIT,lowerlevel,5,A,IT,F,Father,0.02,0.1919191919191919,10,50,Good,1,L,medium,D,Q
33,M,KW,KuwaIT,lowerlevel,3,A,English,F,Father,0.08,0.2222222222222222,9,40,Bad,1,L,low,C,Q
34,M,KW,KuwaIT,MiddleSchool,5,B,Science,F,Father,0.12,0.1111111111111111,8,40,Bad,1,L,low,C,Q
36,M,KW,KuwaIT,MiddleSchool,5,B,Science,F,Mum,0.08,0.06060606060606061,4,22,Good,1,L,low,B,P
37,F,Egypt,Egypt,MiddleSchool,5,A,IT,F,Father,0.45,0.5454545454545454,26,90,Good,0,M,very high,E,T
38,M,KW,KuwaIT,MiddleSchool,4,A,IT,F,Father,0.0,0.0,0,4,Bad,1,L,very low,A,
39,F,SaudiArabia,SaudiArabia,MiddleSchool,5,B,Science,F,Father,0.5,0.9090909090909091,37,70,Good,0,M,high,D,S
40,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.14,0.13131313131313133,3,70,Bad,1,L,high,D,S
41,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.19,0.20202020202020202,16,50,Good,0,M,medium,D,Q
42,M,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.1,0.12121212121212122,7,33,Good,1,L,low,C,P
43,F,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.3,0.35353535353535354,28,90,Good,0,M,very high,E,T
44,F,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.33,0.3333333333333333,30,90,Bad,0,M,very high,E,T
45,M,KW,KuwaIT,MiddleSchool,5,A,Quran,F,Father,0.2,0.12121212121212122,15,70,Good,1,L,high,D,S
46,M,KW,KuwaIT,lowerlevel,3,A,English,F,Father,0.07,0.10101010101010101,1,30,Bad,1,L,low,B,P
47,F,KW,KuwaIT,HighSchool,10,A,English,F,Mum,0.7,0.04040404040404041,39,90,Good,0,H,very high,E,T
